### RESUME
run_name,date,n_epochs,lr,wd,B,M,I,D,H,n_epoch_warmup,enc_type,pretrained,best_val_loss,best_ep_loss,best_val_accuracy,best_ep_accuracy,best_val_kappa,best_ep_kappa,best_val_f1,best_ep_f1,final_train_loss,final_val_loss,final_train_accuracy,final_val_accuracy,final_train_kappa,final_val_kappa,final_train_f1,final_val_f1,train_vram_mb,train_time_s,val_vram_mb,val_time_s,total_co2_kg,co2_per_epoch_kg
ips_ddr_v1,2026-06-15 07:54,50,0.0001,0.1,16,10,10,512,8,10,resnet18,True,0.42749,30,0.860967,25,0.875868,30,0.687513,25,0.160876,0.540521,0.943131,0.833,0.951273,0.869174,0.891986,0.640457,2098.7,600.0,1138.8,73.8,0.07665295,0.00153306

### COURBES PAR EPOQUE
epoch,lr,co2_kg,train_loss,train_accuracy,train_kappa,train_f1,val_loss,val_accuracy,val_kappa,val_f1
1,1e-05,0.00161754,1.225178,0.460224,0.134709,0.209115,0.967184,0.64163,0.450893,0.257026
2,2e-05,0.00152564,0.900809,0.644569,0.504632,0.302552,0.701012,0.755493,0.739964,0.399149
3,3e-05,0.00151801,0.767771,0.701757,0.620764,0.412219,0.702829,0.752697,0.707568,0.478592
4,4e-05,0.00151686,0.728513,0.725559,0.670591,0.448545,0.673943,0.779465,0.745411,0.481275
5,5e-05,0.00153067,0.664772,0.754792,0.722387,0.482548,0.651022,0.76628,0.776376,0.478276
6,6e-05,0.00151994,0.671838,0.75,0.715651,0.490097,0.635863,0.768278,0.80245,0.54356
7,7e-05,0.00152072,0.673608,0.752077,0.707369,0.48034,0.712157,0.740312,0.717969,0.510298
8,8e-05,0.00153644,0.669191,0.757508,0.716852,0.518628,0.631734,0.762685,0.779766,0.502914
9,9e-05,0.00153466,0.607857,0.777316,0.748782,0.533125,0.707019,0.747503,0.789607,0.5438
10,0.0001,0.00153052,0.637568,0.772684,0.743415,0.542423,0.67271,0.765481,0.769819,0.437971
11,9.985e-05,0.00152471,0.60904,0.78099,0.758739,0.527062,0.631238,0.763084,0.783077,0.5123
12,9.939e-05,0.00152149,0.574298,0.78754,0.758292,0.547811,0.550082,0.805833,0.820753,0.593433
13,9.862e-05,0.00152104,0.552095,0.804153,0.781004,0.580413,0.595505,0.78306,0.806616,0.599008
14,9.756e-05,0.00152237,0.555871,0.796805,0.777379,0.576745,0.562364,0.787855,0.81201,0.550158
15,9.62e-05,0.00153028,0.531579,0.816933,0.808979,0.594499,0.535695,0.821814,0.838078,0.576322
16,9.456e-05,0.00151188,0.507044,0.816933,0.80529,0.608674,0.51562,0.834998,0.828793,0.606961
17,9.264e-05,0.00152775,0.504678,0.817891,0.813177,0.601214,0.591645,0.801039,0.806531,0.59198
18,9.046e-05,0.00151838,0.486568,0.829553,0.820778,0.63785,0.540968,0.811826,0.817961,0.553857
19,8.803e-05,0.00153956,0.494983,0.824281,0.81278,0.640926,0.672105,0.757891,0.794624,0.547644
20,8.537e-05,0.00151412,0.452462,0.838818,0.836411,0.648692,0.637263,0.763484,0.798451,0.551696
