### RESUME
run_name,mode,date,n_epochs,lr,wd,batch_size,n_epoch_warmup,enc_type,pretrained,tau,lambda_m,lambda_c,mis_h_ratio,mis_l_ratio,best_val_loss,best_ep_loss,best_val_kappa,best_ep_kappa,best_val_accuracy,best_ep_accuracy,best_val_f1,best_ep_f1,final_train_loss,final_val_loss,final_train_kappa,final_val_kappa,final_train_accuracy,final_val_accuracy,final_train_f1,final_val_f1,train_vram_mb,train_time_s,val_vram_mb,val_time_s,total_co2_kg,co2_per_epoch_kg
ce_ddr_v1,ce,2026-06-29 06:40,50,0.001,0.0001,16,10,resnet50,True,0.07,1.0,1.0,0.5,0.15,0.474405,47,0.870235,50,0.847783,39,0.650046,47,0.282601,0.486587,0.924236,0.870235,0.899361,0.843787,0.751689,0.638568,7560.1,166.7,1316.3,50.9,0.0268167,0.00053633

### COURBES PAR EPOQUE
epoch,lr,co2_kg,train_loss,val_loss,train_kappa,val_kappa,train_accuracy,val_accuracy,train_f1,val_f1
1,0.0001,0.00053273,0.750032,0.587612,0.655407,0.766927,0.722684,0.801438,0.418411,0.541946
2,0.0002,0.00054458,0.678871,0.614402,0.713588,0.779357,0.754792,0.789453,0.466508,0.551274
3,0.0003,0.00055163,0.699935,0.624152,0.691489,0.804715,0.746006,0.810627,0.452879,0.565133
4,0.0004,0.00053428,0.679013,0.563602,0.707612,0.835145,0.753994,0.829405,0.477251,0.567846
5,0.0005,0.0005447,0.695514,0.765356,0.705399,0.645583,0.742652,0.726728,0.455696,0.494285
6,0.0006,0.00054785,0.699311,0.77926,0.702769,0.583529,0.742492,0.662805,0.459942,0.483984
7,0.0007,0.00053986,0.678417,0.737917,0.702376,0.67251,0.753514,0.729525,0.472947,0.499177
8,0.0008,0.00053773,0.687822,1.14021,0.7148,0.493721,0.757827,0.61646,0.492157,0.422955
9,0.0009,0.00053588,0.68324,1.396327,0.706497,0.38484,0.749361,0.620056,0.48304,0.393207
10,0.001,0.00052975,0.686153,1.795131,0.705166,0.199917,0.751118,0.45026,0.485865,0.263416
11,0.001,0.00053711,0.675677,0.697622,0.710385,0.795802,0.75639,0.784259,0.480813,0.507933
12,0.00099846,0.00053186,0.662497,0.579641,0.711675,0.807249,0.755591,0.813024,0.472435,0.539195
13,0.00099385,0.00053688,0.637948,0.637038,0.740102,0.740101,0.774121,0.777867,0.506066,0.524347
14,0.0009862,0.00053942,0.634792,0.774959,0.73639,0.783898,0.773482,0.718738,0.51297,0.53534
15,0.00097555,0.00053881,0.623077,0.67166,0.738163,0.747525,0.776997,0.778666,0.522042,0.477651
16,0.00096198,0.00053807,0.607771,0.725862,0.759279,0.811606,0.7877,0.749501,0.533549,0.581494
17,0.00094556,0.00053163,0.589014,0.584792,0.767924,0.775659,0.792173,0.799041,0.54018,0.510391
18,0.00092639,0.00053062,0.586446,0.602828,0.765502,0.76647,0.788339,0.792649,0.550001,0.576013
19,0.0009046,0.00053419,0.569339,0.586216,0.785311,0.78759,0.801757,0.807831,0.56165,0.574984
20,0.00088032,0.00054491,0.567891,0.621566,0.780656,0.74456,0.800319,0.777068,0.569639,0.557765
21,0.0008537,0.00053068,0.557031,0.538058,0.792976,0.813978,0.803514,0.828606,0.561708,0.595265
22,0.0008249,0.00053869,0.545352,0.608806,0.781471,0.836061,0.803355,0.797044,0.557328,0.552555
23,0.0007941,0.00053811,0.544436,0.541385,0.793283,0.85437,0.803834,0.833,0.563314,0.582229
24,0.00076149,0.00053505,0.536755,0.58846,0.791906,0.769858,0.808307,0.80863,0.567602,0.570295
25,0.00072727,0.00053945,0.512066,0.578019,0.806466,0.836285,0.815655,0.824211,0.568115,0.594519
26,0.00069165,0.00053925,0.505038,0.554667,0.822174,0.848417,0.822524,0.833,0.585901,0.604593
27,0.00065485,0.00053583,0.48839,0.542917,0.827671,0.829969,0.829872,0.815022,0.598115,0.589673
28,0.00061711,0.00052709,0.47769,0.541697,0.836451,0.811568,0.834505,0.815821,0.603838,0.578421
29,0.00057864,0.00053822,0.469795,0.528033,0.84102,0.845665,0.840096,0.829804,0.61989,0.61282
30,0.00053969,0.00053317,0.456635,0.534361,0.848087,0.833186,0.841054,0.834199,0.621132,0.636137
31,0.0005005,0.00053071,0.437884,0.580789,0.849111,0.821012,0.844728,0.812625,0.621957,0.584973
32,0.00046131,0.00053404,0.427051,0.536924,0.860729,0.852451,0.850479,0.823811,0.64674,0.631299
33,0.00042236,0.00053823,0.429454,0.517415,0.853219,0.839136,0.850639,0.829804,0.649051,0.628496
34,0.00038389,0.00052905,0.407052,0.501741,0.868596,0.847185,0.857508,0.832201,0.655518,0.601064
35,0.00034615,0.00053154,0.40532,0.47507,0.866894,0.853196,0.853834,0.842988,0.656287,0.631472
36,0.00030935,0.00053662,0.391639,0.516525,0.871346,0.847623,0.859904,0.818618,0.664915,0.595479
37,0.00027373,0.00053463,0.377066,0.479557,0.878348,0.849164,0.864856,0.845386,0.676591,0.648206
38,0.00023951,0.00053606,0.358585,0.486339,0.889087,0.844304,0.872204,0.845785,0.680371,0.636305
39,0.0002069,0.00053559,0.355734,0.486213,0.889698,0.857663,0.870447,0.847783,0.684525,0.633403
40,0.0001761,0.0005356,0.340714,0.486218,0.892308,0.848992,0.873163,0.837395,0.688593,0.630836
41,0.0001473,0.00053785,0.332639,0.488729,0.899682,0.861087,0.878594,0.837795,0.706083,0.633761
42,0.00012068,0.00054628,0.318361,0.519437,0.904337,0.864357,0.883706,0.831003,0.717623,0.621593
43,9.64e-05,0.00053458,0.308207,0.513801,0.906115,0.855663,0.88738,0.829804,0.71879,0.616486
44,7.461e-05,0.00053552,0.303399,0.475236,0.913867,0.860519,0.893131,0.844187,0.740297,0.642221
45,5.544e-05,0.00053044,0.290603,0.478656,0.913328,0.863333,0.89393,0.845386,0.748661,0.643161
46,3.902e-05,0.00053491,0.295666,0.483955,0.909125,0.869602,0.888658,0.846185,0.728861,0.645385
47,2.545e-05,0.00053924,0.277712,0.474405,0.91687,0.868532,0.898243,0.845386,0.765608,0.650046
48,1.48e-05,0.00053139,0.282644,0.482218,0.919622,0.865266,0.898403,0.840192,0.760912,0.638696
49,7.15e-06,0.00053356,0.281967,0.484637,0.919934,0.866422,0.897125,0.842189,0.747171,0.646017
50,2.54e-06,0.00053283,0.282601,0.486587,0.924236,0.870235,0.899361,0.843787,0.751689,0.638568
