### RESUME
run_name,arch,date,n_epochs,lr,wd,B,n_epoch_warmup,pretrained,img_size,best_val_loss,best_ep_loss,best_val_accuracy,best_ep_accuracy,best_val_kappa,best_ep_kappa,best_val_f1,best_ep_f1,final_train_loss,final_val_loss,final_train_accuracy,final_val_accuracy,final_train_kappa,final_val_kappa,final_train_f1,final_val_f1,train_vram_mb,train_time_s,val_vram_mb,val_time_s,total_co2_kg,co2_per_epoch_kg
baseline_ddr_resnet18_v1,resnet18,2026-06-28 22:05,50,0.0001,0.1,16,10,True,896,0.319385,30,0.895725,30,0.92187,30,0.72868,30,0.040218,0.413668,0.989457,0.876548,0.991836,0.913786,0.976502,0.692635,7156.5,582.7,3136.9,69.0,0.06578058,0.00131561

### COURBES PAR EPOQUE
epoch,lr,co2_kg,train_loss,train_accuracy,train_kappa,train_f1,val_loss,val_accuracy,val_kappa,val_f1
1,1e-05,0.0013346,1.478951,0.359904,0.213672,0.23081,0.912711,0.702357,0.582346,0.304182
2,2e-05,0.00132103,0.819858,0.696965,0.603031,0.348939,0.657012,0.782261,0.731745,0.415467
3,3e-05,0.00134072,0.682434,0.75655,0.709803,0.445176,0.617572,0.806632,0.785058,0.514186
4,4e-05,0.00132141,0.618447,0.770767,0.735057,0.487838,0.568,0.823811,0.816115,0.561907
5,5e-05,0.00132807,0.566206,0.792652,0.768215,0.542808,0.536443,0.803036,0.7908,0.56636
6,6e-05,0.00132991,0.530241,0.807188,0.798487,0.554219,0.503215,0.829405,0.837054,0.596313
7,7e-05,0.00131897,0.494414,0.821885,0.809442,0.588981,0.45743,0.846584,0.871226,0.630348
8,8e-05,0.00131817,0.502193,0.817252,0.812217,0.576621,0.470829,0.848582,0.849382,0.638848
9,9e-05,0.00132098,0.459859,0.828754,0.82849,0.600461,0.490677,0.82541,0.821779,0.622869
10,0.0001,0.00133024,0.446055,0.836581,0.837479,0.631661,0.506461,0.821814,0.835676,0.568778
11,9.985e-05,0.00132872,0.440402,0.841214,0.842407,0.645278,0.601207,0.790651,0.834322,0.565181
12,9.939e-05,0.00129881,0.419494,0.850799,0.849816,0.664619,0.422073,0.855773,0.858909,0.65479
13,9.862e-05,0.00131841,0.407958,0.854633,0.855511,0.665657,0.659483,0.773472,0.83617,0.5537
14,9.756e-05,0.00130267,0.377015,0.866773,0.872803,0.691943,0.414804,0.853775,0.872031,0.610856
15,9.62e-05,0.00132119,0.368498,0.866773,0.871765,0.695003,0.500408,0.82461,0.875341,0.611814
16,9.456e-05,0.00130086,0.341758,0.877476,0.884284,0.730438,0.431181,0.846584,0.850855,0.638923
17,9.264e-05,0.00127534,0.332527,0.88147,0.89362,0.723681,0.536374,0.817419,0.830039,0.599943
18,9.046e-05,0.00131334,0.324268,0.881629,0.889626,0.736439,0.577431,0.813024,0.86279,0.621114
19,8.803e-05,0.00136711,0.315903,0.886422,0.893986,0.741967,0.452311,0.85018,0.858553,0.65287
20,8.537e-05,0.00135523,0.309318,0.890575,0.896851,0.774246,0.40405,0.870555,0.885951,0.655764
21,8.249e-05,0.00133838,0.302224,0.888818,0.899555,0.750371,0.406854,0.85857,0.887572,0.683623
22,7.941e-05,0.00132622,0.257245,0.908466,0.921653,0.793733,0.398978,0.860967,0.870738,0.698245
23,7.615e-05,0.00130735,0.255335,0.909105,0.923618,0.801601,0.414764,0.859768,0.906638,0.647152
24,7.273e-05,0.00130029,0.236346,0.914696,0.926256,0.81829,0.465873,0.834199,0.885128,0.634943
25,6.917e-05,0.0013256,0.239819,0.915655,0.922494,0.81249,0.361809,0.872553,0.902272,0.692085
26,6.549e-05,0.00132678,0.225627,0.921246,0.930729,0.822469,0.352275,0.88334,0.897506,0.71319
27,6.171e-05,0.00137209,0.207414,0.924121,0.936534,0.835993,0.358337,0.871354,0.904404,0.691305
28,5.786e-05,0.00130941,0.192601,0.929393,0.937329,0.849491,0.411882,0.858969,0.88729,0.674897
29,5.397e-05,0.00129863,0.16276,0.942173,0.95395,0.876073,0.441829,0.845785,0.879161,0.667259
30,5.005e-05,0.00136529,0.166655,0.942812,0.953047,0.873538,0.319385,0.895725,0.92187,0.72868
