### RESUME
run_name,date,n_epochs,lr,wd,B,M,I,D,H,n_epoch_warmup,enc_type,pretrained,best_val_loss,best_ep_loss,best_val_accuracy,best_ep_accuracy,best_val_auc,best_ep_auc,best_val_f1,best_ep_f1,best_val_precision,best_ep_precision,best_val_recall,best_ep_recall,final_train_loss,final_val_loss,final_train_accuracy,final_val_accuracy,final_train_auc,final_val_auc,final_train_f1,final_val_f1,final_train_precision,final_val_precision,final_train_recall,final_val_recall,train_vram_mb,train_time_s,val_vram_mb,val_time_s,total_co2_kg,co2_per_epoch_kg
ips_rsna_v1,2026-06-29 15:09,50,0.0001,0.1,16,10,10,512,8,10,resnet18,True,0.387374,8,0.829765,8,0.865933,18,0.756346,12,0.778998,8,0.785904,18,0.056155,0.769605,0.981305,0.816589,0.997085,0.839361,0.981302,0.725178,0.981392,0.736946,0.981275,0.715945,1970.1,333.4,902.1,83.7,0.07383869,0.00147677

### COURBES PAR EPOQUE
epoch,lr,co2_kg,train_loss,train_accuracy,train_auc,train_f1,train_precision,train_recall,val_loss,val_accuracy,val_auc,val_f1,val_precision,val_recall
1,1e-05,0.00146571,0.592778,0.686378,0.749995,0.686378,0.686413,0.68641,0.530065,0.725857,0.817104,0.679077,0.675102,0.739558
2,2e-05,0.00147832,0.50271,0.756511,0.834923,0.75648,0.756659,0.756521,0.577246,0.712083,0.848562,0.677682,0.685622,0.763248
3,3e-05,0.00147828,0.478227,0.772407,0.851772,0.772298,0.772738,0.772323,0.453953,0.776613,0.860756,0.726499,0.712329,0.775846
4,4e-05,0.00148047,0.466927,0.782804,0.859728,0.7826,0.783308,0.782579,0.440304,0.788441,0.843473,0.726827,0.712457,0.755857
5,5e-05,0.00147886,0.453623,0.790002,0.868121,0.789726,0.79061,0.789654,0.573882,0.693667,0.86354,0.664509,0.683045,0.761989
6,6e-05,0.00148164,0.476793,0.776856,0.853301,0.776855,0.777048,0.777022,0.532414,0.731547,0.835691,0.68805,0.684564,0.754324
7,7e-05,0.00147982,0.473556,0.779755,0.855897,0.779705,0.77982,0.779686,0.410913,0.804462,0.858221,0.740033,0.727001,0.760764
8,8e-05,0.00148014,0.461673,0.786603,0.86334,0.786358,0.787214,0.786325,0.387374,0.829765,0.842403,0.708677,0.778998,0.681246
9,9e-05,0.00147974,0.459605,0.790402,0.864779,0.790147,0.7911,0.790119,0.473951,0.750861,0.862938,0.707443,0.699944,0.772687
10,0.0001,0.00147833,0.467265,0.784254,0.859902,0.78418,0.78456,0.784216,0.493427,0.75116,0.857058,0.708815,0.701794,0.776185
11,9.985e-05,0.00147832,0.464044,0.788753,0.862011,0.788617,0.789259,0.788652,0.394377,0.822578,0.851837,0.750379,0.746019,0.75522
12,9.939e-05,0.00147697,0.463892,0.786603,0.862229,0.786598,0.786829,0.786737,0.398791,0.827369,0.859948,0.756346,0.752591,0.760435
13,9.862e-05,0.00147926,0.465588,0.782954,0.860503,0.782944,0.783417,0.783242,0.539292,0.71343,0.858401,0.679295,0.687199,0.765534
14,9.756e-05,0.0014775,0.455015,0.789453,0.867559,0.789261,0.790257,0.789344,0.401031,0.813295,0.857214,0.74963,0.737051,0.768352
15,9.62e-05,0.00147909,0.442903,0.797701,0.87538,0.797622,0.798274,0.797754,0.490495,0.775715,0.859219,0.727518,0.71377,0.78046
