### RESUME
run_name,date,n_epochs,lr,wd,B,M,I,D,H,n_epoch_warmup,enc_type,pretrained,best_val_loss,best_ep_loss,best_val_accuracy,best_ep_accuracy,best_val_auc,best_ep_auc,best_val_f1,best_ep_f1,best_val_precision,best_ep_precision,best_val_recall,best_ep_recall,final_train_loss,final_val_loss,final_train_accuracy,final_val_accuracy,final_train_auc,final_val_auc,final_train_f1,final_val_f1,final_train_precision,final_val_precision,final_train_recall,final_val_recall,train_vram_mb,train_time_s,val_vram_mb,val_time_s,total_co2_kg,co2_per_epoch_kg
ips_rsna_v1,2026-06-26 00:14,50,0.0001,0.1,16,10,10,512,8,10,resnet18,True,0.39926,6,0.821231,26,0.871304,5,0.744083,6,0.744483,26,0.788307,5,0.022382,1.007763,0.992702,0.815541,0.999456,0.838919,0.992701,0.71609,0.992724,0.736115,0.992686,0.702522,1965.4,334.0,898.2,85.1,0.08208108,0.00164162

### COURBES PAR EPOQUE
epoch,lr,co2_kg,train_loss,train_accuracy,train_auc,train_f1,train_precision,train_recall,val_loss,val_accuracy,val_auc,val_f1,val_precision,val_recall
36,2.737e-05,0.00164368,0.083639,0.969758,0.994409,0.969758,0.969831,0.969819,0.73519,0.814942,0.840549,0.724486,0.734284,0.716535
37,2.395e-05,0.00164014,0.070117,0.976056,0.995807,0.976055,0.976152,0.976076,0.820479,0.814493,0.841152,0.728425,0.733623,0.7238
38,2.069e-05,0.0016424,0.064442,0.977406,0.9965,0.977406,0.977479,0.977445,0.790149,0.817488,0.841639,0.733466,0.738111,0.729273
39,1.761e-05,0.00164033,0.057451,0.979955,0.997299,0.979952,0.980049,0.979917,0.830428,0.8109,0.84007,0.725856,0.728505,0.72337
40,1.473e-05,0.0016382,0.050708,0.983304,0.99762,0.983304,0.983327,0.983327,0.882711,0.811199,0.842681,0.727734,0.729119,0.726396
41,1.207e-05,0.00164,0.047146,0.984754,0.997908,0.984752,0.984827,0.98473,0.908113,0.814793,0.838231,0.720599,0.734238,0.710301
42,9.64e-06,0.0016384,0.038718,0.987303,0.998576,0.987303,0.98732,0.987304,0.898186,0.812697,0.842381,0.725795,0.730935,0.721224
43,7.46e-06,0.00163893,0.033359,0.989153,0.998896,0.989152,0.989192,0.98915,0.918501,0.811199,0.839481,0.720692,0.728528,0.71412
44,5.54e-06,0.00163873,0.034472,0.989253,0.99876,0.989251,0.989308,0.989223,0.948566,0.812098,0.838023,0.719318,0.729872,0.710923
45,3.9e-06,0.00163943,0.028228,0.991302,0.999061,0.991299,0.991361,0.991255,0.967159,0.812846,0.842001,0.720364,0.731042,0.711878
46,2.54e-06,0.00163769,0.02576,0.991702,0.999191,0.991702,0.991713,0.991705,0.983218,0.814044,0.840906,0.717762,0.733171,0.706513
47,1.48e-06,0.00163943,0.02355,0.992102,0.999435,0.992102,0.992125,0.992091,1.000016,0.812697,0.838388,0.716991,0.730913,0.706588
48,7.1e-07,0.0016387,0.021972,0.992752,0.99945,0.992751,0.992775,0.992738,0.989284,0.812697,0.838836,0.720499,0.730804,0.712253
49,2.5e-07,0.00163689,0.021838,0.993202,0.999521,0.993202,0.9932,0.993209,0.989152,0.812996,0.839852,0.721517,0.731266,0.713627
50,1e-07,0.00163859,0.022382,0.992702,0.999456,0.992701,0.992724,0.992686,1.007763,0.815541,0.838919,0.71609,0.736115,0.702522
