### RESUME
run_name,date,n_epochs,lr,wd,B,M,I,D,H,n_epoch_warmup,enc_type,pretrained,coarse_size,fine_size,best_val_loss,best_ep_loss,best_val_accuracy,best_ep_accuracy,best_val_auc,best_ep_auc,best_val_f1,best_ep_f1,best_val_precision,best_ep_precision,best_val_recall,best_ep_recall,final_train_loss,final_val_loss,final_train_accuracy,final_val_accuracy,final_train_auc,final_val_auc,final_train_f1,final_val_f1,final_train_precision,final_val_precision,final_train_recall,final_val_recall,train_vram_mb,train_time_s,val_vram_mb,val_time_s,total_co2_kg,co2_per_epoch_kg
hmsips_rsna_v1,2026-06-29 07:54,50,0.0001,0.1,16,10,10,512,8,10,resnet18,True,256,128,0.379208,13,0.824375,13,0.866508,22,0.621738,27,0.619772,45,0.934132,3,0.041951,0.776172,0.986903,0.819434,0.998244,0.826772,0.986968,0.587551,0.984129,0.604504,0.989823,0.571524,2000.9,259.4,1577.7,66.8,0.0674498,0.001349

### COURBES PAR EPOQUE
epoch,lr,co2_kg,train_loss,train_accuracy,train_auc,train_f1,train_precision,train_recall,val_loss,val_accuracy,val_auc,val_f1,val_precision,val_recall
1,1e-05,0.0013453,0.581619,0.692627,0.76121,0.703934,0.679242,0.730489,0.582326,0.69756,0.81482,0.548502,0.412992,0.816367
2,2e-05,0.00135381,0.507758,0.754861,0.830178,0.757588,0.748779,0.766607,0.531716,0.74053,0.846328,0.581906,0.456472,0.802395
3,3e-05,0.00136174,0.481955,0.773307,0.849358,0.779715,0.765183,0.794811,0.754755,0.616559,0.855788,0.523002,0.363166,0.934132
4,4e-05,0.00135305,0.461922,0.783504,0.862979,0.786514,0.769929,0.803829,0.421087,0.799072,0.85925,0.616133,0.540391,0.716567
5,5e-05,0.00135765,0.459249,0.784904,0.864781,0.788665,0.772688,0.805316,0.513548,0.764186,0.859685,0.603774,0.485437,0.798403
6,6e-05,0.00135786,0.447447,0.797701,0.872629,0.80116,0.784999,0.817999,0.402338,0.808355,0.860922,0.617454,0.560499,0.687292
7,7e-05,0.00135817,0.447972,0.790352,0.871743,0.796645,0.778968,0.815142,0.540754,0.725109,0.855513,0.578899,0.441722,0.839654
8,8e-05,0.0013589,0.451838,0.791452,0.869199,0.798804,0.778823,0.819838,0.451074,0.783501,0.863558,0.615221,0.512639,0.769128
9,9e-05,0.00135405,0.445771,0.795201,0.872932,0.804654,0.780862,0.82994,0.595077,0.689774,0.858193,0.56213,0.411892,0.884897
10,0.0001,0.0013509,0.439992,0.79915,0.876247,0.804895,0.78233,0.8288,0.419216,0.789789,0.866443,0.617855,0.522801,0.755156
11,9.985e-05,0.001354,0.444577,0.795201,0.873771,0.799805,0.782185,0.818236,0.566578,0.705794,0.858202,0.571802,0.425146,0.872921
12,9.939e-05,0.00135308,0.450133,0.791552,0.870077,0.797415,0.775269,0.820864,0.476886,0.766432,0.861979,0.602446,0.488228,0.786427
13,9.862e-05,0.00134999,0.438021,0.8011,0.878002,0.805722,0.786784,0.825595,0.379208,0.824375,0.859878,0.606772,0.611486,0.602129
14,9.756e-05,0.0013538,0.427544,0.808748,0.883381,0.81508,0.789218,0.842694,0.406586,0.806408,0.851741,0.601541,0.560276,0.649368
15,9.62e-05,0.00135466,0.428619,0.807898,0.883523,0.809912,0.793698,0.826803,0.581631,0.721815,0.86349,0.583595,0.440014,0.866267
16,9.456e-05,0.0013499,0.419218,0.812997,0.888587,0.819511,0.797165,0.843145,0.443918,0.775266,0.862314,0.611039,0.500424,0.784431
17,9.264e-05,0.00135333,0.405611,0.821195,0.895635,0.827323,0.80204,0.854252,0.426802,0.797724,0.861618,0.615428,0.537811,0.719228
18,9.046e-05,0.00134721,0.3917,0.825044,0.903352,0.829965,0.808519,0.85258,0.545309,0.758796,0.863215,0.605244,0.479054,0.82169
19,8.803e-05,0.00134744,0.39078,0.828493,0.903605,0.834627,0.812424,0.858077,0.575554,0.717473,0.850928,0.574521,0.434516,0.847638
20,8.537e-05,0.00135023,0.377375,0.834941,0.910141,0.841204,0.81601,0.868003,0.452781,0.789939,0.857248,0.612109,0.523652,0.736527
21,8.249e-05,0.00135116,0.349906,0.852787,0.922733,0.85632,0.834697,0.879094,0.418468,0.809103,0.864328,0.620649,0.561356,0.693945
22,7.941e-05,0.00134807,0.347478,0.849838,0.924271,0.853791,0.833349,0.875262,0.500744,0.786944,0.866508,0.620027,0.517841,0.772455
23,7.615e-05,0.00134826,0.325279,0.864884,0.933834,0.867662,0.852183,0.883714,0.416834,0.817637,0.854545,0.60557,0.589905,0.622089
24,7.273e-05,0.00135284,0.316556,0.868883,0.936877,0.870616,0.855136,0.886667,0.456472,0.800569,0.853176,0.610526,0.544601,0.694611
25,6.917e-05,0.00134745,0.288196,0.884029,0.947656,0.886397,0.874239,0.898898,0.486681,0.811199,0.859836,0.621662,0.56612,0.689288
26,6.549e-05,0.0013479,0.27797,0.889828,0.951261,0.891386,0.874831,0.908579,0.504828,0.779159,0.847418,0.598202,0.506458,0.730539
27,6.171e-05,0.00134551,0.251872,0.898025,0.959639,0.899507,0.88315,0.916483,0.534672,0.802515,0.855193,0.621738,0.546371,0.721224
28,5.786e-05,0.00134632,0.228658,0.910622,0.966755,0.911468,0.898389,0.924932,0.520639,0.814044,0.853299,0.606962,0.578757,0.638057
29,5.397e-05,0.00134637,0.213721,0.917571,0.970537,0.918322,0.907933,0.928951,0.571636,0.775266,0.836131,0.580375,0.500482,0.690619
30,5.005e-05,0.00135967,0.20608,0.91987,0.972419,0.921686,0.908154,0.935628,0.630853,0.770475,0.848826,0.605608,0.493708,0.7831
31,4.613e-05,0.00134255,0.182778,0.932917,0.977128,0.934267,0.921895,0.946976,0.562137,0.804611,0.847757,0.597098,0.557028,0.64338
32,4.224e-05,0.00134328,0.161758,0.940065,0.982393,0.941458,0.93006,0.953139,0.551729,0.816889,0.849982,0.605357,0.587719,0.624085
33,3.839e-05,0.00134131,0.152297,0.943664,0.984182,0.944144,0.936486,0.951929,0.58726,0.795329,0.828979,0.583613,0.538202,0.637392
34,3.461e-05,0.00134245,0.137188,0.949213,0.986953,0.949733,0.94135,0.958267,0.587479,0.800569,0.834924,0.585563,0.549971,0.626081
35,3.093e-05,0.00134202,0.12083,0.956911,0.989884,0.957441,0.949936,0.965064,0.615079,0.810001,0.837453,0.575727,0.578629,0.572854
36,2.737e-05,0.00134874,0.114611,0.95976,0.990638,0.959764,0.95248,0.96716,0.627473,0.821231,0.842596,0.599329,0.604604,0.594145
37,2.395e-05,0.00133693,0.104753,0.963559,0.992123,0.963552,0.958139,0.969027,0.64925,0.818985,0.844271,0.575938,0.60905,0.546241
38,2.069e-05,0.0013436,0.094735,0.966158,0.993579,0.965875,0.960983,0.970818,0.683783,0.81614,0.841411,0.598693,0.588311,0.609448
39,1.761e-05,0.00133896,0.079765,0.973007,0.995376,0.97323,0.96996,0.976522,0.681807,0.817488,0.836031,0.574817,0.604106,0.548237
40,1.473e-05,0.00134124,0.075295,0.974356,0.995557,0.974344,0.969833,0.978897,0.721552,0.82138,0.833839,0.593249,0.608392,0.578842
41,1.207e-05,0.0013376,0.067689,0.977006,0.996201,0.976763,0.971365,0.982221,0.711421,0.819135,0.836128,0.589116,0.602644,0.576181
42,9.64e-06,0.00134221,0.059636,0.981055,0.997057,0.98103,0.977361,0.984727,0.768582,0.820183,0.823153,0.578744,0.612018,0.548902
43,7.46e-06,0.00135523,0.054906,0.981205,0.997625,0.981179,0.977363,0.985025,0.745993,0.815242,0.832447,0.590033,0.58925,0.590818
44,5.54e-06,0.00134873,0.05346,0.982854,0.997412,0.982965,0.98019,0.985756,0.729945,0.822578,0.826324,0.585229,0.61743,0.556221
45,3.9e-06,0.00136191,0.050008,0.984204,0.997873,0.984191,0.981539,0.986857,0.751378,0.822129,0.830892,0.578424,0.619772,0.542249
46,2.54e-06,0.00134558,0.044751,0.985204,0.998194,0.98517,0.982218,0.988141,0.785542,0.820482,0.828094,0.591482,0.606145,0.577512
47,1.48e-06,0.00134135,0.043649,0.986653,0.998113,0.986407,0.983653,0.989177,0.770544,0.819135,0.824655,0.578212,0.608376,0.550898
48,7.1e-07,0.00134845,0.042764,0.985854,0.998434,0.986043,0.984247,0.987846,0.762763,0.820632,0.825175,0.580238,0.612879,0.550898
49,2.5e-07,0.00134763,0.038636,0.987703,0.998668,0.9877,0.985237,0.990175,0.769577,0.819434,0.827299,0.58241,0.60722,0.559548
50,1e-07,0.00134141,0.041951,0.986903,0.998244,0.986968,0.984129,0.989823,0.776172,0.819434,0.826772,0.587551,0.604504,0.571524
