### RESUME
run_name,date,n_epochs,lr,wd,B,M,I,D,H,n_epoch_warmup,enc_type,pretrained,best_val_loss,best_ep_loss,best_val_accuracy,best_ep_accuracy,best_val_kappa,best_ep_kappa,best_val_f1,best_ep_f1,final_train_loss,final_val_loss,final_train_accuracy,final_val_accuracy,final_train_kappa,final_val_kappa,final_train_f1,final_val_f1,train_vram_mb,train_time_s,val_vram_mb,val_time_s
ips_ddr_v1,2026-05-24 05:50,250,0.0001,0.1,16,10,10,512,8,5,resnet18,True,0.442059,55,0.856972,153,0.884213,105,0.673111,64,0.00319,1.040641,0.999361,0.840591,0.999341,0.873584,0.999408,0.627605,6526.6,616.1,1141.5,74.0

### COURBES PAR EPOQUE
epoch,lr,train_loss,train_accuracy,train_kappa,train_f1,val_loss,val_accuracy,val_kappa,val_f1
58,8.89e-05,0.240337,0.909265,0.918299,0.808287,0.530995,0.842988,0.857851,0.605951
59,8.85e-05,0.237843,0.911821,0.918518,0.815998,0.609212,0.792249,0.844146,0.598954
60,8.808e-05,0.245044,0.910543,0.917506,0.819563,0.532681,0.827807,0.839817,0.606518
61,8.767e-05,0.248654,0.915016,0.917921,0.821904,0.518115,0.837395,0.860681,0.624889
62,8.724e-05,0.222933,0.919169,0.927573,0.836155,0.660999,0.792649,0.855862,0.601193
63,8.681e-05,0.213582,0.919808,0.930849,0.828854,0.636393,0.816221,0.850154,0.604906
64,8.637e-05,0.215441,0.923802,0.927268,0.850147,0.489651,0.855374,0.864016,0.673111
65,8.593e-05,0.21014,0.924281,0.934276,0.843267,0.548169,0.835398,0.861004,0.651376
66,8.548e-05,0.205564,0.923482,0.932587,0.839815,0.530654,0.845785,0.882374,0.655983
67,8.503e-05,0.19247,0.930671,0.94028,0.859081,0.604163,0.821015,0.860506,0.627249
68,8.457e-05,0.20228,0.927157,0.927344,0.853663,0.639318,0.825809,0.85481,0.618716
69,8.41e-05,0.191029,0.930831,0.93349,0.854779,0.52975,0.831802,0.861136,0.627677
70,8.363e-05,0.192822,0.928275,0.935768,0.851014,0.672176,0.799041,0.851541,0.606217
71,8.315e-05,0.196947,0.930351,0.936254,0.858881,0.605719,0.82541,0.859691,0.626626
72,8.267e-05,0.191914,0.928594,0.934747,0.860767,0.595169,0.824211,0.852069,0.626135
