### RESUME
run_name,date,n_epochs,lr,wd,B,M,I,D,H,n_epoch_warmup,enc_type,pretrained,best_val_loss,best_ep_loss,best_val_accuracy,best_ep_accuracy,best_val_kappa,best_ep_kappa,best_val_f1,best_ep_f1,final_train_loss,final_val_loss,final_train_accuracy,final_val_accuracy,final_train_kappa,final_val_kappa,final_train_f1,final_val_f1,train_vram_mb,train_time_s,val_vram_mb,val_time_s,total_co2_kg,co2_per_epoch_kg
ips_ddr_v1,2026-06-25 18:13,50,0.0001,0.1,16,10,10,512,8,10,resnet18,True,0.414989,18,0.860168,34,0.896037,34,0.680715,30,0.099223,0.622354,0.966613,0.84139,0.970839,0.882606,0.938585,0.655577,2094.5,606.2,1135.3,72.8,0.07691963,0.00153839

### COURBES PAR EPOQUE
epoch,lr,co2_kg,train_loss,train_accuracy,train_kappa,train_f1,val_loss,val_accuracy,val_kappa,val_f1
1,1e-05,0.00162481,1.189981,0.505911,0.202651,0.229198,0.945202,0.656412,0.488059,0.267134
2,2e-05,0.00150813,0.88935,0.651917,0.496779,0.303586,0.734791,0.727926,0.658126,0.352286
3,3e-05,0.00151225,0.744238,0.713419,0.642712,0.408524,0.658488,0.772273,0.762073,0.496543
4,4e-05,0.00151324,0.686111,0.742173,0.698104,0.465432,0.65115,0.75829,0.758277,0.487521
5,5e-05,0.00152485,0.638741,0.767252,0.734978,0.493602,0.81123,0.719537,0.760926,0.457292
6,6e-05,0.00150511,0.617666,0.772045,0.743398,0.528405,0.620035,0.778266,0.757605,0.514108
7,7e-05,0.00150832,0.59289,0.779872,0.759005,0.52566,0.64187,0.748302,0.818684,0.534674
8,8e-05,0.00150299,0.549817,0.798722,0.785803,0.566269,0.510034,0.815022,0.824949,0.605205
9,9e-05,0.0015325,0.540322,0.801438,0.789014,0.590658,0.578171,0.794247,0.79146,0.541389
10,0.0001,0.00152365,0.51019,0.812141,0.806652,0.599437,0.492571,0.82541,0.809474,0.519762
11,9.985e-05,0.00154148,0.511117,0.811342,0.800348,0.597961,0.551298,0.798642,0.78244,0.569433
12,9.939e-05,0.00154781,0.486299,0.820128,0.816771,0.616204,0.51376,0.824211,0.813172,0.58977
13,9.862e-05,0.00154617,0.478423,0.826358,0.82325,0.61801,0.503784,0.819017,0.841312,0.551135
14,9.756e-05,0.00152625,0.46784,0.833866,0.831061,0.624368,0.531916,0.797044,0.829119,0.607114
15,9.62e-05,0.00153151,0.452673,0.832907,0.829603,0.646024,0.49305,0.833799,0.842919,0.585023
16,9.456e-05,0.0015315,0.438573,0.835463,0.834384,0.642925,0.619017,0.755493,0.85035,0.573582
17,9.264e-05,0.00153807,0.42662,0.846486,0.845676,0.665197,0.479149,0.81662,0.845659,0.621942
18,9.046e-05,0.00154671,0.422388,0.844888,0.842193,0.676651,0.414989,0.852577,0.876094,0.622842
19,8.803e-05,0.00153086,0.386157,0.858946,0.866568,0.696336,0.559668,0.811426,0.819095,0.571968
20,8.537e-05,0.00154111,0.39428,0.853994,0.854435,0.692547,0.464943,0.836596,0.835468,0.639268
21,8.249e-05,0.00155259,0.375156,0.864696,0.870657,0.69398,0.511228,0.818218,0.861588,0.641687
22,7.941e-05,0.00154254,0.369331,0.867732,0.879969,0.716103,0.492555,0.839393,0.855219,0.643723
23,7.615e-05,0.00152796,0.355337,0.871406,0.883103,0.714847,0.513584,0.817419,0.828388,0.615267
24,7.273e-05,0.0015437,0.336598,0.877796,0.889334,0.741903,0.452145,0.836996,0.877408,0.646435
25,6.917e-05,0.00154289,0.332062,0.882907,0.889479,0.753656,0.483486,0.836197,0.865437,0.644392
26,6.549e-05,0.00153761,0.309868,0.885463,0.900601,0.748008,0.526597,0.829405,0.85209,0.651414
27,6.171e-05,0.00154204,0.303163,0.884665,0.900492,0.758706,0.509617,0.830204,0.846274,0.651226
28,5.786e-05,0.00153166,0.289601,0.891693,0.901049,0.781344,0.48661,0.840591,0.860826,0.674499
29,5.397e-05,0.00155049,0.272028,0.902077,0.911298,0.791029,0.488653,0.836197,0.868509,0.655342
30,5.005e-05,0.00154265,0.272002,0.899521,0.910178,0.787021,0.457256,0.853775,0.873359,0.680715
31,4.613e-05,0.00154959,0.244156,0.905911,0.919763,0.797316,0.48597,0.830204,0.88063,0.641005
32,4.224e-05,0.00153821,0.235589,0.915495,0.930099,0.811625,0.514876,0.829005,0.87533,0.640236
33,3.839e-05,0.00155217,0.211396,0.92476,0.938022,0.839699,0.538703,0.823412,0.870993,0.643165
34,3.461e-05,0.00154683,0.211879,0.921246,0.92982,0.846131,0.429099,0.860168,0.896037,0.67606
35,3.093e-05,0.00152763,0.193485,0.928754,0.944095,0.852463,0.534665,0.836197,0.862705,0.653051
36,2.737e-05,0.00156073,0.177823,0.936581,0.947211,0.873969,0.453686,0.856572,0.891401,0.67309
37,2.395e-05,0.00153567,0.167035,0.939457,0.952183,0.87442,0.487036,0.848582,0.881616,0.670242
38,2.069e-05,0.00154398,0.158116,0.945527,0.953767,0.89017,0.539811,0.834598,0.888393,0.662331
39,1.761e-05,0.00153743,0.150292,0.946805,0.958252,0.893746,0.539102,0.842589,0.879937,0.659022
40,1.473e-05,0.00154468,0.140665,0.949201,0.957368,0.902621,0.561956,0.846185,0.877413,0.672918
41,1.207e-05,0.00156011,0.131073,0.952556,0.961246,0.90756,0.603054,0.834998,0.885372,0.641312
42,9.64e-06,0.00153655,0.132284,0.954792,0.959816,0.915489,0.543141,0.851778,0.880884,0.662802
43,7.46e-06,0.00154405,0.11637,0.95623,0.967856,0.91161,0.563259,0.847783,0.881337,0.667745
